체고
인터페이스가 정말 깔끔하고 편리하다
좋아요~
좋아요
한눈에 전부 보인다 엄청 편하다
간결함
항상 잘 쓰고 있어요 넘 좋아요
아주 좋네요
뱅크샐러드보다 사용하기 편리하고 앱구동속도가 빨라서 성격급한 사람이 쓰기좋음
저금통 기능에 한도가 늘었으면 좋겠어요
좋다
가계부가 따로 필요없어요~~너무 좋아요.
강추.,"다양한 컨텐츠, 편리한 송금, 만보 포인트 최고"
다양한정보가 있어서 좋아요
아니 몇일전까지 잘 사용하다가 갑자기 계좌 잔액이 안보이길래 확인해보니 계좌 연결 다 끊어져 있네요 갑자기 이러는게 벌써 한두번이 넘어가요 번거롭고 귀찮은게 싫어서 이용중인 토스를 장기적으로 이용하려면 가끔가다 한번씩 계좌 재연결이라는 수고로움을 들여야하는게 맞는건가요 답변 빨라서 별 두개 추가합니다
혹시 대출을 받으면 토스에 대출보기가 나오던데 혹시 몇일정도 걸리는지 알수있나요 토스는 최고입니다
자산관리에서 카카오뱅크는 왜 최신 3개월밖에 못불러올까요 기껏 가계부 다정리해놓으면 전부다사라져서 불편합니다.,앞으로도 이러는건가요
너무 잘 쓰고 있습니다.,다만 위젯의 투명도 설정 변경이 가능하게 되면 더 좋을 것 같습니다.
토스 이자를 거래내역에서 확인할 수 있었으면 좋겠어요
좋은정보 앱 편리하고 좋아요
다 좋은데 저금통에 50만원 밖에 못 넣는게 조금 아쉬워요...
나의 카드 소비내역을 한곳에서 볼수있어서 편리해요~
오늘 확인했는데 입출금 내역 조회할 때 같은 내용이 중복 출력되는 현상이 발생합니다.
내주식 리스트를 관심 목록처럼 순서를 바꿀수있거나 이름순 금액순과 같이 정렬할수있는 기능이 생기면 좋겠어요
주거래 은행 계좌연결해서 잘 사용하고있다가 얼마전 갑자기 거래내역에 자꾸 오류가생깁니다 몇일 거래내역만 계속 반복해서 나옵니다 갑자기 왜그런건가요
좋다
여러가지 기능과 이벤트로 항상 유용하게 잘 사용하고 있었지만 이번 업데이트로 상단바에 QR 체크인 생긴거 너무 반갑고 좋아요~ 항상 앱 찾아서 열고 체크하기 번거로웠는데 넘좋아요 앞으로도 더 좋은 기능들 부탁드려요
얼른 입출금 내역 오류뜨는거 고쳐주세요ㅜ 가계부를 못 쓰고 있어요ㅠ 뱅킹어플 다운받기 싫어요ㅠ
너무 잘 사용하고 있어용 근데 제가 국민은행 비밀번호 바꿔서 다시 연결하고 하는데 자꾸 튕기네욤..
굿 ~~
사용도 쉽고 정보도 많이 주고 감사합니다~
너무좋은앱이에요
다 좋긴한데... 갑자기 신한은행 비밀번호가 변경 되어서 들어가 보니 자꾸 앱이 중지가 되네요....
조아요
굿 편하게잘쓰고잇어요
계좌간이체나 타기관이체도 무료신속 하게처리 되고각종정보 도유익한 것이많아 편리합니다
토스 너무너무 유용하고 좋아요 송금도 무료로 해주고 만들어주셔서 감사해요 근데.. 예전버전 토스 프라임이 다시 생겼으면 좋겠어요ㅠㅠ 학생이라 전엔 4000원만 내면 괜찮았는데 지금은 6000원이나 내야해서 조금 부담스러워요.. 아 뭐 주식하는 학생들에겐 좋겠지만 주식 안하는 애들은 부담하기 조금 무거운 가격인듯 해요ㅠㅠ 프라임 혜택을 좀 나눠서 만들어 주실 수 있을까용 실현 된다면 바로 가입해버리게요 3
안녕하세요 업데이트를 하고나니 계좌에 나와있는 입출금내용이 뒤죽박죽이고 있던 내용이 반복 되는 이상한 상황이어서 문의드려요
평생 무료송금 그거 자세히 보니까 참 갬동했습미다
개추
정말 유용한 경제 현황과 나의 경제패턴등을 쉽게 볼수 있어 좋습니다~ 정말 좋은 앱이네요♡
오늘 보니 은행 거래내역이 일자가 앞뒤가 섞이고 중복되어 나타나네요.
뭐니 뭐니 해도 토스죠
아주 좋아요
사용도 편리하고 한눈에 볼수있고 이제 해외주식만 되면 진짜 완벽하겠네요~
나마스떼
아주 편리하고 사용하기가 쉬어요
"폴드3로 바꾸고나서 주거래은행 인증서 등록하고, 타행 인증서를 등록해도 계속 등록하라고 하고 은행계좌를 연결하는 가장좋은 방법을 찾는중입니다 라는 문구만뜨고 새로고침이 안되서 폰 기기변경후 아에 다먹통이네요.","앱을 여러번 삭제 설치 해도 안되고, 캐시삭제를 해도 안되고 토스 나왔을때부터 지금까지 잘썼는데 폴드3로 기기변경후 아에 먹통이라 사용을 못하고있네요.."
짱
간편해서좋음
젛아요
최고예요
"여러 은행들을 사용하다보니 이체, 잔액 조회, 대출까지 ㅠㅠ 이것저것 번거로운 것들이 많았는데 토스 하나로 대동단결 월 결제 바로 ㄱㄱ 해서 3년째 잘 사용중이고 금융관련은 인생 어플 임미다  ㅂ 토스팀 번창하세요~~"
금융 쪽으로 사용이 좋아요
주식차트에 이동평균선 제공해 주실수 있나요
세상 편합니다
편해요.간단해요.
비서같아서 좋아요 가계부같기도 하고 토스 잘사용하고 있어요
좋아요.써보셔야알아요.
친구 목록이 없어졌어요 다시 복구 부탁드립니다~
와.. 토스가 절 살렸습니다.,중고나라에서 뭣도 모르고 입금하려던 찰나 토스에서 사기의심계좌라고 뜨고.. 더치트에 검색해보니 사기건이 무려 8건... 토스 아니였으면 뭣도 모르고 사기꾼한테 돈 보낼 뻔 했네요 토스한테 정말 감사합니다.
혁신적인 앱
내소비에서 카테고리별 소비내역 없어진건가요 잘 쓰던 기능인데 안타깝네요... 다시좀 만들어주세요...
더 다른 만보기가 있었으면 좋겠어용 그리고 이어플은 사실 엄청 좋은 어플입니다 여러분들도 만보기로 운동 파이팅하세요.. 2021.9.21.화요일 12시00분업뎃 이후에 친구와 만보기 포인트가 않모여요 ㅠㅜ
잘사용하고있어요
빛과 어둠 키 맨
좋아요
편하고 좋아요
은행앱만 써오다 요거 쓰니까 편하긴하다.,근데 포인트관련 개인정보 요구가 너무 많아서 좀 그렇다.,뭐 물론 안하면 그만인데 포인트로 유혹함 ㅋㅋㅋ 무튼 아직까진 주 은행앱보다 개조음 ㅋㅋ
주식하기 딱 좋은 것 같아요

한 눈에 볼수있어서 편리합니다
굿
깊카 만원짜리나 만 오펀 이런거도 추가해주시면 굉장히 좋을거 같습니다 잘 쓰고 있어요
굳
이렇게 깔끔하고 잘만든 금융앱은 없어요
진짜 대박앱.,정말편한 앱
좋아요 늘 믿고사용하고 있습니다
좋아요
정말 잘 사용하고 있습니다 이번에 새로생긴 주식앱도 편리하고요 그런데 혹시 해외주식도 할 수 있을까요 토스앱이 다른주식앱보다 보기 편리합니다 만약 이걸로 해외주식도 볼 수 있으면 토스앱을 찾는사람이 더욱 많아질것 같습니다 개인적으로 미니스탁이란 앱으로부터 배울점이 있을것 같습니다
편릿하고 정리가 한눈에~
사용해본 앱 중에 최고이고 프라임 이용 후 신용 분석이나 신용 업그레이드 기타 부분에서 최고임.,아직 카카오 뱅크나 기타 등등 지원이 안되는 부분도 있지만 개선될 것으로 믿음.,마지막으로 행운퀴즈에 가입이나 기타 광고로 유도하는 쓰레기 업체들 통제가 필요함.,답도 없고 가입 후 문제만 발생하여 토스만 욕 먹음.
편리함
아주편함 인증없이 간단히..... 다양한 정보도 ㅇㅋ 넘편하게 쓰고있어요...
베리굿
편리하구 사용하기가 넘 편해서좋아요
토스 증권에서 미국 주식도 가능하게 되나요
사용하기 딱 좋다
"너무편리하게,잘쓰고있어요."
와 개지림 .,최고의 앱이다 그어떤앱보다도
너무 편하고 좋아요
좋아요
Good
좋아요
노력하면 돈이 쌓여.....
혁신을 추구함.,장점이 많음
아주유용하고휼륭한앱이네요
간편하고 빠른 앱이라서 자주 이용해요
굳
안녕하세요 토스를 잘 사용하고 있는 유저입니다.,불편사항 있어서 남기는데요 어제부터 계속 토스 어플 실행이 됐다 안됐다 합니다 눌러도 실행이 안되는데 이 주기가 점점 길어지고 있습니다
굿
간편해서 넘좋네요
조아여
조회기능이 효능적입니다
숨은카드포인트찾기.,인증문자가.안와여.
검색기능 있으면 더 좋겠네요
편리하네요
토스를 사용하다가 지웠었는데 2차 비밀번호가 기억이 안나서 못 사용하고 있습니다.,어떻게 해야 하는지 좀 알려주세요..
정말좋네요
좋아요
토스가 무료송금을 시작한 이유가 궁금해서 이유를 읽어봤는데 '고객 중심적 사고'라고 한 부분에서 감동 그리고 토스만큼 돈관리나 송금이 편한건 아직 못 봤음
정말 잘 활용하고 있어서 좋아요
그냥 편하네요~~
굿ㅡㅡㅡ
내소비에 스마일카드현대카드가 빠져있고 앞으로 낼카드값에는 현대카드가 나옵니다.,카드를 삭제하고 재등록하고 앱을 다시 깔아도 이번달사용내역엔 현대카드는 안뜨는데 타사페이코도 현대카드만 안뜨고 뭐가 문제일까요
업데이트 되고 송금할때 수수료 무료되어서 너무 좋아요ㅠㅠㅠ 감사합니다ㅠㅠㅠ
편리하고 소비를 한 눈에볼수있음
굿 이예요
뭐라 자세하게 표현은 못하겠지만 편하고 생활의 모든것을 다 할수 있어서 좋으네요 다만 증권은 좀 아쉽기는 해요 창에 한꺼번에 볼수 있음 좋겠어요 근데 넘 믿음이 가는거 같아서 좋아요
좋은데
사용이 편리하고 매우쉬워 항상 이용중입니다.,미국여행 갈때 여행자보험도 가입해 봤는데 간단하게 잔됩니다.
쓰기편하고좋음
굿잡
초고속 정보확인 토스가 짱인듯여
굿
편리하고 유용하다
내소비를 월별로만 볼 수 있는데 매월 특정일을 사용자가 지정해서 기준으로 한달 소비량을 자동적으로 볼 수 있게 하는 기능도 추가됐으면 합니다.
정부지원금 찾아준다더니 애 나이 적고 끝 ㅋㅋㅋ 완료든 다음이든 버튼이 있어야 검색을 하죠 ㅋㅋㅋㅋㅋㅋ
유효한정보가 많아 좋습니다.
최고예요
진짜 토스 대단하다고 생각해요 제 삶의 질을 올려주는 최고 어플 빈말 아니고 이거 없으면 어떻게 사나 싶을정도 계좌 이체뿐만 아니라 다른 유용한 기능도 많아서 감동이에요 수수료 무료도 선물 받은 기분이였어요 감사합니다
굳
너무너무좋아요
편하고 좋습니다.,"지원금이랑 백신 이런거 연동되서 좋고, 방문등록 할때도 좋네요.",수수료 무료 되서 더 자주 이용하고 있습니다.,보안적인 부분만 문제 없다면 대만족 입니다.
"금액확인과 계좌이체, 주식과 지원금 알림까지 역대급 편의성을 지닌 아주 좋은 앱, 처음 사용하는 사람들도 금방 이해할 수 있는 시스템과 먼저 사용자에게 다양한 혜택들을 주는 앱"
편하고 쓰기가 좋네요.토스체크카드가 있으면 더 조을거같아요.
"제가 얼리어답터는 아닌 편이라 토스를 이제야 써봤는데 너무 신세계네요, 지금까지 써본 어떤 가계부 어플보다 똑똑하고 주식도 되고 유용하게 잘 사용하는 중입니다 그런데 보안문제는 약간 걱정이 되기도 하네요"
20대 사회초년생으로서 아주 만족하면서 쓰고 있습니다.,한가지 건의드릴거는 자산중에 연동이 안되는 것이 있는데 수동으로 직접 추가 넣을 수 있게 하는 기능이 추가되었으면 합니다.,뱅크샐러드에는 있던데 토스도 있으면 좋겠어요
좋아요
한동안 잘쓰다가 오류나서 며칠 고생했는데 다른버전까니까 넘 잘대요ㅎㅎ 토스너무편해요
좋음..
진짜편하다..한편으곤 무섭다
좋아요
좋아
만보기 처음 출시했을 때가 제일 좋았는데 계속 변경되고 수정되다보니 하기가 점점 싫어지고 다른 애플리케이션으로 갈아탈까싶기도 하네요
좋아요
좋아요 좋아ㅡ
너무편하고 간편하네요~~ 모든걸 다가르쳐주네요~~
굿
굿
한눈에 보기 편해요~~ 전 불편한거 없이 잘쓰고있네요
굿
원츄
제가 왜 이 앱을 안 썼나 싶을 정도로 죠습니다 진짜 너무 편해요
ㅁ ~⁴ㅋ나 지4금ㅂ ~ㅋ나=4~ㄱㅁ4= 지4금 ㅁ~403호 ㄱ
굿 계속 좋은모습보여주셔요
요번에 업데이트 하고 나서 사용하니까 정말 좋습니다 앞으로도 계속 이렇게만 해주세요
토스참좋아요
모근 금융 및 카드사 연동되어 편합니다.
너무나 다양한 문제해결 방안제시에 놀라움이 많다고 할까요 매번 이용에 감사드립니다.
쓰기 편합니다
좋아요..실시간 매니저
아주 편리하고 필요한것만 딱딱 있네요 아주 좋아요
굿
타은행 포인트가 원하는 계좌로 다 입금된다니 편리하고 좋다
조아요
제일 편합니다
여러모로 편합니다
유안타 증권사추가부탁드립니당 자주쓰는데 없어서 변경하기기번거로워요 ㅠ
편함
너무 편하게 잘 사용하고 있습니다
좋아요
최고.,최에고오
"편리함, 신속함, 정확한 데이터등으로 만족함"
유용한 앱 실생활에서 쓰기좋음
좋음
사용이 편리합니다
편리해서 하루에 대여섯번씩은 들어가는거같아여ㅎ
굳굳
너므편함요

유익합니다
국민지원금5부제신청 충전 그래서 사용하기
너무 편하고 이체수수료도 꽁짜니까 좋아요
좋아요
넘 간편하고 좋아요~
잘 쓰고있어요
저는 토스가 모든 금융일을 손쉽게 해줄수잇을거라생각햇어요.,근데제생각과달리 제가 손댈수있는게 한게도 없는듯 합니다.,그래서 제거하고 싶습니다.
처음에는 좀 불편하고 그랬는데 요즘은 편하게 배구하듯히 토스잘하고있어요 개발해주신분들 감사합니다 ~~ 수고들하세요
토스 많이 애용하는편 만보기 업그레이드
매우만족스럽습니다
반응이 빠르네요
한눈에 간편하게 모든걸 해결해 주네요
매우 편리합니다.
좋아요
편리함
새로운 은행 간단 명료 24시 편의 은행
좋다
잘사용하고있어요
최고
편리해요.
은행업무가 편리했다
굿
굿
토스좋습니다.개발자분칭찬합니다.
정보를 한눈에 볼수있어 편리해요
좋아요 ㅎㅎ
토뱅은 수수료가 평생무료.,연회비도 없당
좋음
",.편함"
돈을버는 게임도하나 만들어 주세요.,친구추가기능없애지 말아주세요.
잘쓰고 있는데 저장소 문제로 인증할때 지문인식이 안되는데 어찌 해야될까요
신용등급 관리해요
토스가 엄청난 발전에 자꾸 놀람.,주식도 증권플러스처럼 발전했으면...
편리하넹ㅅ
좋아요
간편사용부탁합니다
굳~
송금하기 편해요..무료 송금까지~~
참 편해요
좋아요
굳줗음
평소 토스 앱을 매우 애용하는 대학생입니다.,제가 이번에 갤럭시워치4를 구매하였는데 토스에서 watch용 앱을 제작해주실 계획이 있으신지 궁금합니다.,토스가 만약 watch용 앱이 개발된다면 정말로 감사드릴거 같습니다.
굳
은행보다편해요
잘 사용하고 있어요
토스 너무 잘 쓰고있는 유저입니당 이번에 토스 체크카드 없어지고 뱅크카드 엿나 기존카드서비스는 이번년도로 종료되잖아요 새로나온카드 색 보니까 레드퍼플그린블랙 이렇게 네가지 색상이던데 기존에 오로라너무이쁘게 잘쓰고있었어서 새로나오는 카드 컬러감 살짝 살짝 아쉬워요 ㅠㅠ 오로라 너무 이뻤는데... 하지만 이번에나온 퍼플이랑 그린도이뻐서 맘에들어요 오로라가 너무이뻤어서 아쉬울뿐 ㅠㅠ 내년에 새로 출시되는 카드 기대됩니당
편리함
"금융,여러정고가눈에확들어오니 넘좋아요"
모든걸 한눈에 보고 할수 있어 편합니다
편리합니다
사용하기 편하고 다양한 서비스와 혜택 아주 만족하며 사용하고있습니다
좋아요
사용해도좋아
간편하고 오류가 적음
모든정보확인이빠름ㅋ
편리하고 너무 좋아요
진짜 짱편함ㅋㅋㅋㅋㅋㅋ 그냥 친구들이랑 놀고 슥슥~하면 돈 보내짐
토스 너무 잘쓰고있습니다.
굿
편리함
무엇이든 빠름
좋은앱입니당~넘좋앙
"등급 통장,신용카드사용내역 한눈에 볼수있어 아주 편리합니다.강추합니다"
"다양한 정보와 책임 있는 해결방법이 넘,좋 습니다"
편해요
좋음
너무 좋아요
이제 토스뱅크가 신설되면 토스 pay와 토스라는 앱은 토스뱅크로 바꾸겠지요  아니면 토스로 다 통합하는가요
너무 편합니다~ 토스나온후로 계속 토스만 쓰고있어요~
정말 좋은 앱 굿 입니다
굿굿

편해요
토스가진리인듯.. 가계부..쓸필요가없다..
너무너무 편해용
아주좋아요
너무 편하고 한번에 확인하니 너무좋아요~~
좋아유
정말편리하고좋아요 강추
좋아요
해외주식도 만들어주세요 너무편한데 국내만 되니까 해외는 다른 증권꺼 쓰는데 개불편해요...
솔직히 갓임..... 너무 만족
KB증권 잔액조회 말씀드렸는데 이제 조회되네요.,이러니까 토스 안쓸 수가 없네...토스 최고다~~~~
깔끔하고 편해요 로딩시간도 빨라요
편한함 조아요.
좋아요
최고에요 사용하기 편리해요
굿
좋아요 카카오에서 토스로갈아탈예정
좋아요
토스 넘 편해요 사용자가 늘어날수록 사용하기 편해지는 앱이네요
계속해서 발전중
편리함
정말 쉽게 송금할수 있어서 좋아요
편하고 알기 쉽습니다
응 아니야
빠르고 좋아요.
9월 22일 이후로 통장 잔액이 업데이트가 안되요 예전에 업데이트 됐을때는 정말 편했는데 지금은 정말 송금밖에 안되네요 ㅠㅠ 조금 아쉽지만 그래도 충분히 좋은 앱인거 같아요
간편 하고 좋아요
Good
❤❤❤❤❤
쓰기 편한데 어디에 뭐가 있는지 메뉴에 카테고리별로 정리 좀 되었으면 합니다.
좋아요
잘 쓰고 있습니다.
편리해요
다른 증권앱보다 편리하고 좋아요~
편하고 좋아요
좋아요
최고 최고다 카뱅보다 헐씬 좋은듯
편리한 점이 많아요
사용간편하고.,친구와함꺼 유용한토스의 매력에 빠졌어요 이벤트도 많아요
편리하기 습니다
송금신속하고 주식정보도 빠름
송금수수료 무료인 걸 감사하려고 썼어요
최고
편해요
굿굿
짱
굿
맘에 쏙
좋아요
좋아요
굿

토스를 사용할수록 느끼는점 편리하게 필요한 것들을 한눈에 보기 좋게 정말 잘만들음 너무 친절하게 잘만들었음 얼른 주식 상장 했음 좋겠음 한줄평 직관적으로 쿨하게 잘만든 앱
업뎃했는데..만보기가그대로 인가요 산책모드가안보여요
아주 좋은데... 토스뱅크가 생겨도 토스는 유지해도 되지 않을까 하는 생각이 듭니다...
출시때부터 사용중 주변 지인들에게도 추천함
아주 편리하구 좋아요
좋아요
굿
굿
송금도간편하고좋아요
편하다
좋아요
굳
없어졌던 소비 원형 그래프도 다시 나오고 이번 업데이트 너무 좋아요... ㅎㅎ
편함
너무너무 편리해요.,다른 곳 은 복잡해서 전 보기가 힘들었어요.,토스는 너무 보기가 좋아요.
토스 개발자들이 연봉 더 받아야하는 이유 1.,UIUX 말이 필요없을 정도로 편리하고 직관적이고 예쁨.,사용자들이 어떻게 해야 조금이라도 편리한지 엄청 고민하는게 느껴질정도 많은 앱을 쓰는 편은 아니지만 사용하는 앱들 중에서 압도적으로 뛰어남 2.,빠른 피드백 처음 주식이 가능할 때 기능들이 빠르게 처리 안돼 불편을 남긴적 있는데 3~4일 내로 해결되고 주식거래 하는데 많이 편해짐 주식 거래는 반응 시간이 중요하다보니 처음에 유저들의 많은 혹평이 있었지만 이렇게 빨리 개선된걸 보니 개발자들의 엄청난 노력이 보임 3.,기능 업데이트 놀라운게 토스 앱을 킬때마다 필요하고 유용한 기능들이 업데이트 되어있음.,"재난지원금, 카드 실적 혜택, 주식 관련 뉴스 등등 자주 안키면 손해일 정도 너무 잘 쓰고 있고 앞으로도 좋은 기능들 부탁드립니다"
문의덕분에 원이었던게 5원됬네요
주식 시간외거래 활성화 시켜 주세요
좋아요
좋아요
이런저런 서비스 신청시 공인인증서로 되는것도 있지만 어떤건 휴대폰 인증이 필수인게 많습니다 개인사정으로 본인명의로 휴대폰 못쓰는사람일경우도 있고 또 굳이 폰인증하나만이 아니라 공인인증서 인증도 있는데 폰인증하나만 고집할필요가 있을까요 인증수단을 다양하게해주세요
wow
제가 써 본 머니앱 중에 최고 입니다.
업데이트가 안되길래 설치 삭제하고 다시 다운받으려 하는데 몇 시간째 다운이 안되네요
좋아요
같은 종류 어플중엔 원탑
페이팔같은 혁신보다 지금 세대에 맞는 심플한 디자인과 진짜 필요한 정보랑 필요한 기능만 있는 설계에 너무 만족함 나중엔 계좌도 토스에서 온라인으로 만들수있으면 좋겠음
굿 강추 돈을 막줘
너무 좋아요
최고
좋은웹인것 같아요 펼리합니다
말해뭐해
아주 유용하게 쓰고 있는데 신한카드랑 연동이 안 됩니다 ㅠㅠㅠ 고쳐주세요
굿
좋아요
송금할때나 비밀번호 누를때 진동 온오프 기능 만들어주세요 진동 너무 싫어요...
잘쓰고있었는데 12월 입출금내역이 이상해요..날짜별 중복된것도 있고 아예 빠진것도 있고 왜이러나요
최고임
편리해요 좋네요
정말 사용하기 편리해요
사용하기 편함.
아주 좋아요
진짜 이제는 필수국룰 어플
한눈에볼수있어 편해요
굳
너무 디테일하고 적극적인 어플임 일잘함 짱
토스 다 좋은데 이번 업데이트때 토스뱅크 사전신청은 왜 안되는건가요 뭔가 에러가 있는거 같은데..
토스를 이용하기 전과 후가 크게 달라졌어요 그전엔 불편해서 어찌살았지싶을정도~ 완전 편하고 좋습니다
국민앱 토스
52토스 1금융간다고 믿고있다고
짱 편리해요
굿
좋아요
굳
저도지금사용하고있는대ㅎ좋아용 국민지원금도알려주구요
주식 연결계좌 이벤트 좋아요..추천합니다
토스는 진짜 핀테크앱중에 최고임
연결해둔 계좌들이 다 사라졌는데 뭔가요이거
편리한 금융플랫품으로 도움이 많이됩니다.
좋음
편리해요
너무나 유용하고 편했어 자주 쓰고 있어요 좋은정보도 많고 좋네요
너무편합니다
만족
굿굿굿굿굿굿굿
좋아요 속도도 빠르고 여러 편의 기능도 있고 짱
무료 이체등 모든게 만족할만 하네요.,토스 최고예요
토스처럼 간편한게 쵝오제
"토스에서 등록되어 있는 카드번호 전 보려면 어떻게 해야하나요 마스킹 처리안되어있는..,풀버전"
좋아요
이제 토스없이 스마트한 생활 불가능 -
토스카드 정말 굿입니다
굿
편해요 송금할때요 수수료가 무료로된건 며칠안됐고 토스카드혜택이 종료 되듯이 또 종료되겠죠
아직잘모르겠어요
나올때부터 잘쓰는중 무엇보다 좋은점은 앱이 가볍다는거 다른 은행 어플은 다 느려서 속터지는데 ㅋㅋ
좋아요
여러모로 편리한 기능이 좋아요
굿굿
난좋음
국민들 에게 필요한 어플로 더욱더 성장 하길 바란다
편리하고 유용함
토스 저금통이 안보이는데 사라졌나요...ㅜ
그냥 인생 어플
한마디로 표현함 짱
조아용
헐 내이름 나옴
너무편하고좋음
"계좌관리하기 너무 좋고 편하고, 각종이벤트도 다양해서 적극추천 사업번창하십쇼 꾸벋"
처음 사용해보는 뱅킹 앱입니다.,다른앱도 깔아서 들어갔는데 다른 앱은 처음 들어가면 뭐가 너무 많았는데 토스앱은 딱심플해서 필요한것만 볼수있고 중요알림같은것도 줘서 헷갈리지 않고 편하게 쓸수있네요.,딴앱깔자마자 지웠는데 토스는 편하게 사용하고있어요.
오b
와우대박
너무너무좋아요
간편하고 편리함
정말좋은정보감사해요복많이받으셰요
쵝오
따봉
토스 운영분에게 죄송하지만 저희 아버지 께서 토스를 하시다가 몇갈 안하시다가 갑자기 필요하시다 하셔서 깔아주었는데 비밀번허를 까먹었다고 하셨는데 이거 인증 하려면 은행이랑 계좌가 필요한데 계좌랑 은행 설정해두신걸 모르겠다고 까먹었다고 하셔서 그런데 이런경우엔 어떻게 해야할까요ㅠ
지문 인증 하나면 송금되는 편리함.,같은 토스 친구끼리 계좌 몰라도 보낼 수 있고 수수료 없고 최고임
