WORD,TAG,reinforcer,score,count
강제,NNP,1,0,99
강조,NNG,1,0,13
강종,NNP,1,0,7
강하,VA,1,0,8
강하늘,NNP,1,0,1
강혜정,NNP,1,0,1
강화,NNG,1,0,22
강화도,NNP,1,0,1
갖,VV,1,0,50
갖가지,NNG,1,0,1
갖추,VV,1,0,35
같,VA,1,0,4127
같아지,VV,1,0,1
같이,MAG,1,0,246
갚,VV,1,0,17
개,NNG,1,0,52
개,VV,1,0,53
개간,NNG,1,0,1
개개인,NNG,1,0,3
개구리,NNG,1,0,2
개구리,NNP,1,0,6
개그,NNP,1,0,2
개기,VV,1,0,1
개나리,NNG,1,0,1
개나리,NNP,1,0,2
개나리색,NNP,1,0,1
개념,NNG,1,0,10
개떡,NNG,1,0,16
개똥,NNG,1,0,8
개명,NNG,1,0,8
개명,NNP,1,0,4
개미,NNG,1,0,1
개발,NNG,1,0,189
개발,NNP,1,0,1
개발비,NNG,1,0,1
개발자,NNG,1,0,114
개발자,NNP,1,0,85
개발지,NNG,1,0,1
개방,NNG,1,0,1
개변,NNG,1,0,1
개별,NNG,1,0,16
개불,NNP,1,0,21
개뿔,NNG,1,0,14
개선,NNG,1,0,1020
개선,NNP,1,0,13
개선책,NNG,1,0,1
개설,NNG,1,0,670
개성,NNP,1,0,1
개소리,NNG,1,0,4
개수,NNG,1,0,28
개수작,NNG,1,0,2
개시,NNP,1,0,3
개악,NNG,1,0,3
개역,NNP,1,0,1
개연,NNG,1,0,1
개요,NNP,1,0,2
개인,NNG,1,0,367
개인,NNP,1,0,2
개인 금융,NNP,1,0,1
개인의 취향,NNP,1,0,1
개인차,NNG,1,0,3
개인화,NNP,1,0,2
개장,NNG,1,0,1
개정안,NNG,1,0,1
개창,NNP,1,0,1
개통,NNG,1,0,6
개판,NNG,1,0,60
개편,NNG,1,0,35
개화,NNP,1,0,43
객,NNG,1,0,6
객관,NNG,1,0,1
객장,NNG,1,0,3
갤러리,NNP,1,0,5
갤럭시,NNP,1,0,161
갤럽,NNP,1,0,1
갱,NNG,1,0,4
갱신,NNG,1,0,136
거꾸로,MAG,1,0,1
거느리,VV,1,0,1
거대,NNG,1,0,1
거대,XR,1,0,2
거더,NNP,1,0,1
거도,NNP,1,0,34
거동,NNG,1,0,1
거두,VV,1,0,2
거들뜨,VV,1,0,2
거듭,MAG,1,0,5
거듭나,VV,1,0,11
거란,NNP,1,0,6
거래,NNG,1,0,1551
거래,NNP,1,0,105
거래량,NNG,1,0,41
거래상,NNG,1,0,1
거래소,NNP,1,0,10
거래액,NNG,1,0,1
거래자,NNG,1,0,5
거래처,NNG,1,0,18
거르,VV,1,0,16
거리,NNG,1,0,14
거리,NNP,1,0,3
거리,VV,1,0,15
거만,NNG,1,0,1
거미,NNP,1,0,1
거부,NNG,1,0,20
거부감,NNG,1,0,11
거북이,NNP,1,0,1
거슬리,VV,1,0,8
거시,NNG,1,0,1
거실,NNP,1,0,1
거액,NNG,1,0,1
거의,MAG,1,0,419
거인,NNP,1,0,1
거절,NNG,1,0,12
거제도,NNP,1,0,1
거주,NNG,1,0,12
거주자,NNG,1,0,3
거주지,NNP,1,0,4
거지,NNG,1,0,215
거진,MAG,1,0,3
거짓,NNG,1,0,6
거짓말,NNG,1,0,6
거짓말,NNP,1,0,3
거창,XR,1,0,2
거처,NNG,1,0,1
거치,VV,1,0,52
거푸,MAG,1,0,1
거하,VV,1,0,1
걱정,NNG,1,0,72
걱정거리,NNG,1,0,1
건강,NNG,1,0,15
건강,NNP,1,0,1
건강보험,NNP,1,0,4
건네,VV,1,0,1
건드리,VV,1,0,17
건들,VV,1,0,2
건물,NNG,1,0,2
건설,NNG,1,0,1
건성,NNG,1,0,1
건성건성,MAG,1,0,1
건수,NNG,1,0,4
건의,NNG,1,0,21
건의,NNP,1,0,16
건지,NNG,1,0,2
건지,VV,1,0,40
걷,VV,1,0,74
걷기,NNP,1,0,30
걸,VV,1,0,1548
걸리,NNP,1,0,4
걸리,VV,1,0,568
걸림돌,NNG,1,0,1
걸맞,VA,1,0,10
걸어가,VV,1,0,1
걸어오,VV,1,0,3
걸음,NNG,1,0,36
걸음걸이,NNP,1,0,2
걸이,NNG,1,0,1
걸치,VV,1,0,10
걸핏하면,MAG,1,0,6
검,NNG,1,0,3
검,VA,1,0,16
검사,NNG,1,0,25
검사소,NNG,1,0,1
검색,NNG,1,0,117
검색,NNP,1,0,166
