,comment
10369,간편하게 사용 가능하고 실용적인 것들이 많아 좋습니다
10370,좋아요
10371,잘 쓰고 있어요 다른 은행 계좌를 한 번에 볼 수 있고 빠른 이체 등록으로 간편해져서 요새 편리하게 이용 중입니다
10372,앱이 전보다 사용하기에 편해졌어요 보기에도 편하고 로그인 속도나 방법도 다양해지고 송금도 빠른 이체를 통해서 쉽게 이체가 가능해졌고요 단 최근 불편사항이 생겼는데 청약통장을 해지하려고 했더니 은행에 방문해야지만 된다고 하여 어제 은행에 방문해서 물어보니 앱에서 신청했던 사람은 확인 문제로 은행 방문을 해야 한다고 하더라고요 신청은 쉽게 하고 해지는 어렵고 만드는 구태적인 일이라 생각이 들어 불편했습니다 앱의 문제가 아니고 은행 정책상 문제이겠지만 별 5개 주기는 어렵습니다
10373,몇 개월간 사용하면서 오류나 결점은 없었습니다 KB 특유의 노랑이 인터페이스가 제게는 엄청 안정적인 느낌이기도 해서 정감 있게 사용하고 있습니다 타 어플에 비해 메뉴 찾기도 더 쉽고 직관적입니다 지금처럼만 잘 유지해주시기 바랍니다
10374,편리하게 계좌관리도 가능하고 모바일 인증서도 이용하기 좋아 애용하고 있습니다
10375,앱이 체계적으로 되어있어서 사용하기 편 흐리하고 큰 글씨도 이 좋아요
10376,너무 편하게 잘 이용하고 있어요 직장인들에게는 딱 좋은 것 같아요 시간에 구애받지 않고 언제 어디서나 이용할 수 있어 너무 좋아요
10377,국민의 국민에 의한 국민을 위한 뱅크 앱입니다
10378,은행에 가지 않아도 웬만한 업무는 손안에서 다 처리됩니다 정말 좋아요
10379,이용하기 너무 편해서 계속 쓰고 있습니다
10380,사용하기 편하고 안정적이어서 좋네요
10381,30년 이상 국민은행 이용했어요 앱 디자인도 깔끔하고 노란 색깔도 좋아요 앱 이용도 편해요
10382,송진숙 KB 스타뱅킹 이용을 시작한 기간이 얼마 되지 않아서 구체적으로 평가할 단계는 아니지만 이용하면서 불편함보다는 이것저것 정보도 많이 볼 수 있고 통합계좌를 한눈에 볼 수 있는 것도 편리한 점이라고 생각됩니다 자산관리도 평가해주니까 계좌관리를 어떻게 해야 할지 고민도 하게 되고 사이트 구성도 보기 편하게 잘되어 있어서 일단은 자주 이용하려고 합니다 합니다 로그인도 지문이나 간편 비밀번호 등 편한 쪽으로 사용할 수 있는 것도 좋은 것 같습니다 앞으로도 금융 관련 정보나 이벤트도 많이 제공해 주시기 바랍니다
10383,오랫동안 국민은행을 사용하는 사람으로서 편리하게 인터넷뱅킹을 이용하고 있습니다 최근에는 리브 어플로 수수료 없이 어디든 이체할 수 있어서 너무 좋아요
10384,최고예요 스타뱅킹
10385,펀드 예금 결제 등 제 생활에서 빼놓을 수 없는 앱이죠 그리고 믿을만한 은행입니다
10386,꾸준히 KB 써서 이 어플 저 어플 많이 사용했는데 드디어 편하게 정착할 만한 어플이 나온 듯 kb 관련 어플들은 되도록 기능 통합해서 너무 여러 개 쓰지 않아도 되면 더 편할 것 같다
10387,앱 느믕 조아여  너무 편리해서 거래를 자주 하다 보니 돈이 더 자주 나가는 거 같아요
10388,사용하기 편해서 좋아요
10389,잘 쓰고 있어요
10390,앱이 사용하기 깔끔하고 보기 편합니다
10391,앱 초기부터 편리하게 잘 사용하고 있습니다 금융 업무의 대부분을 앱에서 다 해결하니 은행 갈 일이 없어요
10392,앱이 너무 많아서 혼란스러워요
10393,편하게 쓰고 있습니다
10394,톡 상담 서비스 유용하고 이체 등이 전보다 빨라져 사용하기 편합니다 
10395,최고의 은행 앱입니다 확실히 보기 쉽고 정리가 잘 되어있어요
10396,잘 쓰고 있습니다
10397,괜찮아요
10398,편리해요
10399,로그인하기도 편하고 메뉴 찾기도 쉬워서 만족합니다
10400,너무 간편하고 좋아요
10401,손쉽게 사용하기 좋고 굳이 인증서가 없어도 간단 인증으로 업무 보기가 편해요
10402, 간편하게 사용할 수 있어서 좋아요 일목요연합니다
10403,첫 직장 입사하며 쭉 사용하다 보니 벌써 애가 둘이네요 항상 한결같아서 좋아요
10404,한눈에 보기 쉽게 되어있어서 사용하기 편해요 빠른 이체를 등록해놓으면 편하게 이체도 가능하고 자주 쓰는 화면은 마이메뉴로 설정해서 이용할 수도 있고 다양한 이벤트에 금융 서비스까지 화면 찾기도 편하게 되어있어서 잘 사용하고 있어요 거의 은행 방문할 필요 없이 다 앱을 사용해서 업무처리를 하고 있어요 상담이 필요할 땐 바로 채팅상담도 할 수 있고 지점에 가더라도 대기시간을 줄일 수 있는 번호표 발행이나 방문 예약도 가능하여 너무 편해요 자주 이용하지 않는 메뉴도 찾아가기 쉽게 되어있어요 가끔 로그인할 때 지문인증이 좀 느리긴 하지만 불편함을 느낄 정도는 아니에요 항상 발전하는 국민은행이 되길 바랍니다
10405,편하게 사용하고 있어요
10406,사용이 간편하고 보안이 좋은 듯
10407,첫 급여통장으로 만들어서 지금까지 잘 사용하고 있습니다 사용하기 좋아서 계속 쓰고 있어요
10408,언제 어디서나 내 손에서 송금이 가능해서 좋아요 
10409,편해요
10410,무엇보다 오픈뱅킹을 통해 타은행 계좌도 보안카드 없이 이용할 수 있어서 너무 편리하고 좋습니다
10411,지문인식이 좀 까탈스럽고 로그인이 인터넷 뱅킹치고 느린 편인 거 같아요
10412,다른 은행보다 국민스타뱅킹 간편하고 다른 은행 계좌도 한눈에 볼 수 있고 이체 등 편하고 좋아요 요즘 번호표 발행까지 되는 거 알게 돼서 시간 절약 잘하고 있습니다
10413,유용한 정보를 알림으로 받아 볼 수 있어서 편리합니다
10414,국민은행 어플은 그냥 무난합니다 은행 어플이 무난하다는 게 칭찬인 거 아시죠
10415,잘 사용하고 있습니다
10416,전반적으로 쉽고 편하게 이용할 수 있게 구성되어있습니다 다만 생체정보 로그인할 때 다소 오래 걸리고 오류가 가끔 있어 아쉽습니다
10417,늘 이용하고 있는 KB 스타뱅킹  메뉴가 한눈에 들어와서 이용하기 편리해요
10418,모바일 인증서 사용도 용이하고 잘 사용하고 있습니다
10419,오랫동안 사용해온 앱 좀 더 단순했으면 좋겠네요
10420,스타뱅킹은 첫 스마트폰을 구입하면서부터 15년 넘게 사용하고 있는데 편리합니다 직접 은행에 가지 않아도 웬만한 금융업무를 다 수행할 수가 있어요 그러나 잦은 업데이트는 제발 물론 보안이 중요하니 패치 업데이트를 자주 해야겠지만은 정기적으로 업데이트를 하면 좋을 것 같아요 저장용량에도 한계가 있어서 그 외엔 다 좋아요 편리합니다
10421,국민 모두를 위한 국민은행 kb 스타뱅킹 이용하면 정말 편하다니다 강추합니다
10422,모든 금융거래를 kb로 바꿨습니다 앱 사용이 편리하고 혜택이 많아 좋아요
10423,주거래은행으로 월급통장도 국민은행이라 주기적으로 사용하고 있습니다 카카오뱅크의 세이프 박스나 다른 증권사 cma 계좌처럼 비상금이나 유동성 자산을 관리하는 예금 있으면 좋겠습니다 그리고 저금리 시대인 것 맞지만 다른 은행들처럼 한시적 적금이나 펀드 상품 특판 이런 이벤트 있으면 좋을듯합니다 리브 앱은 스마트폰 거래에 익숙하지 않았던 저희 어머니도 편하게 쓰실 정도로 편리한 것 같아요 리브 KB 알림 스타뱅킹 KB카드 다 각각 있어서 앱이 많아지니 좀 헷갈리네요
10424,이벤트도 많이 하고 좋지만 다른 은행들처럼 통합된 앱이 나왔으면 좋겠습니다
10425,간편하고 유용해서 자주 이용합니다
10426,국민은행 앱을 처음으로 설치해보았는데요 처음 설치하는 이용자로서 관련 앱이 많아서 어떤 앱이 추가로 필요할지 한눈에 알기는 어렵더라고요 그래서 이런 부분이 개선되었으면 해서 리뷰를 남기려고 했는데 먼저 글을 작성해주신 분도 비슷한 의견이 있어서 동감하며 저도 의견을 남기게 되었습니다 리브 리브 메이트 리브 똑똑 KB Pay 등 각 어떤 목적을 가진 사람들이 설치하면 좋은 앱인지 한눈에 정리해놓은 안내 페이지가 있으면 더 좋을 것 같습니다 그리고 통장 개설이나 인증서 발급을 위해 앱을 사용하던 중 홈버튼을 누르고서 다른 일을 하다가 다시 스타뱅킹 앱을 들어가면 작성하던 것이 초기화되어 진행 중인 내역 페이지에 들어가기까지 다시 폰으로 본인인증하느라 반복적으로 했던 작업을 또 하기도 하고 시간을 많이 소비하게 되긴 하더라고요 보안상 이렇게 만들어 놓으신 것 같아서 그 부분은 감안하고 사용하겠습니다
10427,사용하기 너무 편리하고 좋아요 한눈에 쏙 들어오는 화면 최고입니다
10428,편하게 이용하기 좋아요
10429,간편하게 누구나 쉽게
10430,앱 사용 편리하게 잘 되어있어요 국민은행 앱만 사용합니다
10431,믿고 사용하는 어플이에요 로그인도 이체도 간단하고 편하게 할 수 있어서 주거래은행으로 사용 중입니다 충성고객들에게 저축 적금 이율 좀 많이 주세요 
10432,굿굿
10433,사용하기 편하고 좋아요 계좌조회 금융상품몰 등 자주 사용할 만한 메뉴는 찾기 좋은 곳에 따로 나와있어서 편하고 다른 은행 어플도 사용하지만 그것에 비해 복잡하지 않아 편리하고 좋습니다
10434,장점  은행거래용으로 사용하기 편리해요 이체 잔액 확인 적금 종류 확인 등 아이콘이 직관적여서 사용하기 쉽습니다 단점  관심 계좌 등록 이체한도 조정 등의 은행거래 관련 메뉴를 사용할 때 찾기가 너무 어려워요 카테고리를 쉽게 찾을 수 있게 초기화면에 띄워주시면 좋겠어요
10435,사용이 편합니다 근데 펀드 입금 시 익일 입금인 경우 입출금 통장에는 돈이 빠진 만큼 보이는데 펀드에 입금이 안 되니 돈이 공중에 떠버린 것처럼 보여 간혹 놀랍니다 차라리 입출금 통장에 그냥 보이고 입출금 통장에 출금 가능금액을 보이게 하면 놀라지 않을듯합니다
10436,사용하기 편해요
10437,잘 사용하고 있습니다 주거래은행이고 로그인 간편하고 사용하기 편리합니다 앞으로도 잘 유지 부탁드립니다
10438,로그인도 편하고 여러 기능도 찾기 편하게 되어있어 다른 은행보다 편하게 잘 사용하고 있어요
10439,보안성이 뛰어납니다 활용도가 높아요
10440,15년째 국민은행 주 거래 중인 일인입니다 스타뱅킹으로 업무가 체계적으로 나뉘어있어서 직접 방문하지 않고도 해결할 수 있는 부분들이 많아서 도움이 많이 되고 있습니다 궁금한 점도 전화연결 없이 상담도 쉽게 간편하게 가능할 수 있어서 타은행보다 훨씬 구성이 잘 되어있는 것 같습니다 앞으로도 쭉 국민은행과 평생 함께하겠습니다
10441,사용하기가 편리해요ᆢ 특히 인증서 암호 입력할 때 자판이 크게 나오는 게 제일 마음에 들어요 어떤 은행은 너무 작아서 손가락 굵은 남편은 자꾸 오타가 나는데 그런 게 없어서 좋네요ᆢ 타행 계좌 이용하는 것도 한눈에 보여서 편리하게 이용하고 있습니다
10442,국민은행 스타뱅킹 잘 사용하고 있어요 요즘 외출을 잘 하지 않아서 은행 갈 필요 없이 간단하게 집에서 다 해결합니다
10443,오픈뱅킹 서비스로 다른 은행 계좌까지 한 번에 관리할 수 있어 좋아요 버그도 없어요
10444,저의 주거래은행인 국민은행 앱 사용이 편리해서 너무 좋아요 지역 은행 앱 사용하는 것보다 가독성도 좋고 사용하기에도 편리하고 보안도 마음에 듭니다 KB 뱅킹 알림을 이용하려면 다른 앱을 또 깔아야 해서 이왕이면 하나의 앱에서 여러 개를 한 번에 해결할 수 있으면 좋겠습니다
10445,대부분의 거래를 거의 온라인으로 이용하는데 여러 은행 중 KB 스타뱅킹을 가장 많이 이용하고 있음 로그인 방법의 다양성 외 메뉴 내비게이션이 편리하기도 하고 금융상품 비교 등이 나름 편리함 오픈뱅킹으로 타 은행 계좌도 연동해 놓았는데 어느 순간 내 계좌 간의 소액 이동에도 OPT와 지문 둘 다 체크하는 게 좀 번거롭긴 함 은행 관계없이 본인 계좌 간의 소액 이동이 좀 개선되기를 바람
10446,사용하면서 오류도 적고 계좌 보는 것도 편리하고 오래 쓴 만큼 익숙해서 좋은데요 너무 여러 가지로 나눠있어서 이것저것 들어가서 확인해 여하고 새로 다운로드해서 등록해야 해서 번거로워요 비슷한 어플은 같은 케이비니까 합치면 좋겠어요
10447,다른 은행보다 편하고 찾기 쉽고 사용이 편해서 너무 좋아요
10448,로그인도 편하고 타 은행보다 사용하기 편합니다 바뀌었으면 좋겠다 생각들 때마다 업데이트하여 바뀌는 것 같아요 잘 사용 중입니다 지금처럼 해주시면 좋겠어요
10449,차츰 적응되고 있습니다 편하고 보안 강력하네요 좋은 방향으로 지속적인 발전을 기원합니다
10450,좋네요 많이 개선된 거 같고 사용하기 편합니다
10451,국민은행 장기 이용자예요 타은행 안 갈아타는 이유 중 하나가 요 스타뱅킹 앱이 너무 편해서도 있어요 지문인식으로 전부 다 돼서 더 편해요 계속 고맙게 사용할게요
10452,잘 쓰고 있습니다
10453,바로 접속되고 편리해요 끊김 없이 빠른 이체 최고
10454,계좌도 편하게 이용하면서 여러 이벤트들도 응모하는 소소한 재미가 있어요
10455,잘 쓰고 있어요 앞으로도 이용핳께요
10456,잘 사용하고 있어요
10457,인터넷으로 간편하게 입출금 해서 은행 갈 필요 없어 좋아요
10458,계좌조회가 쉽고 이벤트도 많이 참여할 수 있어 좋아요 적극 추천합니다
10459,10년 정도 사용하고 있는데 점점 더 편리해지고 좋아요 리브랑 앱 카드랑 같이 계속 쭉 사용할 생각입니다
10460,줘 은행 계좌로 사용 중 적응이 돼서 편하긴 함 별다른 불편 없이 사용 중이라 만족함
10461,빠르고 메뉴가 잘 보여서 사용하기가 편합니다 다른 타 사이트 접속 공인인증서도 잘 활용하고 있습니다
10462,다른 은행 어플에 비해 사용하기가 편리해요 속도도 빠르고 고객의 소리를 빠르게 적용해줘서 든든합니다
10463,늘 편리하게 잘 쓰고 있어요 메뉴도 잘 정리되어있고 만족스럽습니다
10464,편리해요
10465,점점 쓰기 좋아지기는 하네요
10466,앱 기능은 편리한데 가끔 오류가 발생하고 연결이 원활하지 못해요
10467,전반적으로 만족하며 잘 사용하고 있습니다
10468,디자인도 좋고 속도도 빨라 좋아요
10469,고등학생 때부터 15년 이상 주거래 은행으로 거래 중입니다 어플이 세련되고 깔끔하고 가독성이 좋아서 편리해요
10470,스마트폰에 익숙지 않은 50대도 이용하기 편한 앱 만족합니다 강추합니다
10471,메뉴 구성이 잘 되어있고 가장 사용하기 편하고 좋아요 빠르고
10472,전반적으로 만족스러우나 로딩 시간이 오래 걸리는 것이 아쉽습니다
10473,이체 및 잔액 관리에 유용하며 금융상품 이용에도 편리합니다
10474,10년 넘게 kb국민은행 주거래은행인데 너무 만족합니다
10475,국민은행 스타뱅킹 앱 사용하기 편해요 에러도 거의 없고 간편하게 은행일 보기 좋아요 몇 년 동안 불편함 없이 잘 사용하고 있습니다 입금이체 예금관리 다 실용성이 좋아요
10476,국민은행을 주로 이용하는 고객인데 쉽게 송금할 수 있는 게 편리합니다 
10477,타은행 사보다 다양한 콘텐츠로 복합적인 반면 사영자가 봤을 때 쉽고 복잡하지 않음
10478,은행보다 이젠 뱅킹을 더 많이 이용하는 시대가 되었네요 항상 그 자리에 발전하면서 지켜줘서 잘 쓰고 있습니다
10479,주거래은행어 국민은행도 앱도 잘 사용하고 있습니다 앱에서 다양한 기능이 있어서 좋고 색다른 이벤트도 해서 재밌네요
10480,간편해서 사용하기 편리해졌습니다 다른 금융 계좌까지 한눈에 볼 수 있어서 너무 좋습니다 이체할 때 공인인증서는 보안카드 번호를 입력해야 해서 살짝 아쉽습니다만 그래도 항상 사용하는 은행이라서 만족하면서 잘 사용하고 있습니다 
10481,은행 어플 중에 제일 사용하기가 편해요
10482,간편하게 조회 및 이체가 가능하다
10483,거래도 간편하게 할 수 있어 사용에 유용합니다
10484,하루에 적어도 한 번은 사용하지만 불편함을 느꼈던 적은 없다 덕분에 은행 갈 일이 없어 통장정리도 못하고 있다
10485,만족스러운 은행 어플
10486,10년 넘게 이 어플을 쓰면서 속도 인터페이스가 상당히 좋아짐 아직 타 금융사를 따라가기는 부족한 점이 있지만 상당히 만족 중 다만 리브 리브 메이트 등 잡다한 어플이 너무 많음 통합이 필요해 보임
10487,써봤던 은행 앱 중에선 제일 좋아요  써보고 주식 샀습니다
10488,사용하기 편해요
10489,주거래은행이라 자주 사용하는 편인데 사용하기 편하고 찾기 쉽게 설정되어있어 사용하는데 불편함이 없어요
10490,주거래은행이 KB국민은행인데 이 앱으로 모든 것을 손안에서 해결할 수 있으니 너무 편해요 수시로 송금 이체 등 실제 은행 갈 일이 거의 없어 시간 절약도 되고 참 좋아요
10491,유용하고 편리해요
10492,사용이 편리해요
10493,편하고 좋아요
10494,국민은행 주거래 이용자로써 늘 이용하고 있습니다 지문 로그인이 빨라서 좋습니다 아쉬운 것은 스타뱅킹과 스타뱅킹 알림을 통합했으면 한 네오
10495,국민은행 스타뱅킹 앱은 계속 쓰면서 조금씩 리뉴얼 되어도 사용하기 편리하더군요 잘 정리되어 있어 필요한 메뉴를 찾기 쉽고 오픈뱅킹이 되어 더 편리한 것 같아요
10496,로딩이 빠른 편이라 좋아요
10497,갈수록 고객을 위해 발전하는 kb 스타뱅킹이 되어가고 있는 것 같습니다
10498,사용하기가 편합니다 다양하고 좋은 금융 정보도 많이 보길 원합니다
10499,국민은행 주거래은행이라 사용하는 데 문제도 없고 편리해서 매일 이용하고 있음 에러 난 적도 없고 앞으로 계속 사용할 예정
10500,모바일뱅킹에 익숙지 않은 중장년분들도 한눈에 여러 개의 통장관리 및 대출 현황 신용등급 관리까지도 쉽게 할 수 있어서 계속 꾸준히 이용하고 있습니다 감사합니다
10501,오랫동안 사용하고 있는 앱이에요 사용하기 편리하고 여러 번 누르지 않아도 바로 원하는 메뉴를 볼 수 있어서 좋아요
10502,kb 은행의 필수 어플 실시간으로 조회 이체가 쉬워서 너무 편하게 쓰고 있습니다
10503,계좌이체 시 수수료 면제라 너무 좋아요 이벤트도 많고 왜 빨리 안 깔았나 싶어요 이렇게 편한 것을
10504,간편 로그인 등록 완료 공인인증보다 편해요 진작할 것 그랬어요
10505,주거래은행들에서 국민은행으로 바꿔 탔어요 그러면서 쓰게 된 스타뱅킹 정말 잘 쓰고 있어요 kb생명과 kb증권 정보까지 다 보여줘서 더 좋아요 입출금과 펀드 퇴직연금까지 한눈에 다 보여요 노란색이라 전체적으로 따뜻하고 선명한 노란색이라 구분하기 쉬워요
10506,한눈에 보기 편하고 사용하기도 좋습니다
10507,은행 앱 중에 가장 잘 만든 것 같아요 이용하기 편리하고 디자인도 정말 예뻐요 조금 무겁고 이벤트 메뉴 찾기가 힘든 점도 있지만 만족입니다
10508,금융기능을 다양하게 지원해서 좋아요
10509,보기 깔끔하고 오류도 없어 잘 사용하고 있어요
10510,Kb 은행 앱은 깔끔하니 사용하기 좋은 것 같습니다  그리고 항상 이벤트 많이 해서 또 많이 당첨돼서 기분 좋네요 히히 항상 만족합니다
10511,항목별로 찾기 쉽게 잘 정리되어 있고 자주 애용하다 보니 편리하고 좋습니다 지문인증으로 주로 사용하다 보니 번거로운 점은 없어요 가끔가다 출입금 사항에 대해 알림이 오지 않아 불편할 때가 있었는데 요 점만 개선되면 저한테는 굉장히 편리하여 계속 애용할 예정입니다
10512,은행 어플 중 굿굿 
10513,첫 직장 월급통장 은행이 국민은행이어서 쭉 주거래은행으로 사용 중인데 편하고 좋아요 계속 쭉 사용할 거예요
10514,스타뱅킹 이용으로 은행 방문이 많이 적어졌어요 가까운 지점 찾기 은행 번호표 뽑기 등도 잘 사용하고 있습니다
10515,KB국민은행 스타뱅킹으로 변경하면서 접속도 더 잘 되는 것 같고 예금조회 및 이체도 훨씬 편해진 것 같고 대출 현황도 바로 볼 수 있다 다만 20년 넘게 국민은행을 이용했는데 송금수수료는 면제를 못 받는 아쉬움이 있다
10516,항상 잘 쓰고 있어요
10517,다른 기능으로 이용하려면 매번 다른 어플을 설치해야 하고 어플이 수시로 변경되는 것도 이용에 꺼려지는 단점이다
10518,빠르고 좋아요 
10519,잘 쓰고 있어요
10520,보기가 편해요
10521,믿고 쓰는 앱입니다 편하고 좋아요 
10522,사용하기 너무 편리해서 좋은 거 같아요
10523,아 진짜 너무 편한 앱이고 도움이 너무 많이 되네요
10524,빠르고 간편 로그인하면서 이 체내 용도 싑게 확인할 수 있어서 좋았습니다
10525,잘 사용하고 있어요
10526,사용하기 편하고 어떤 메뉴든 쉽게 찾을 수 있어서 참 좋아요
10527,주거래 은행인만큼 편히 사용하고 있습니다 로그인 방법이 여러 가지라서 좋습니다 통합계좌관리까지 너무 만족합니다
10528,편하게 국민은행
10529,다른 은행보다 필요한 서비스를 한눈에 쉽게 볼 수 있고 질문에 대한 답변 또한 친절합니다
10530,취업하고 계속 메인으로 사용해왔습니다 타 은행 앱들 대비 UI가 직관적이고 앱 자체 안정성도 높아서 만족하며 사용 중입니다 단지 아쉬운 점은 앱 자체가 좀 무거운 느낌이고 금융앱들 모두 해당되나 토스나 칼뱅 대비 KB금융 내 너무 많은 앱들을 좀 정리할 필요가 있어 보입니다 한가지 건의하고 싶은 점은 빠른 이체 기능 매우 만족하며 사용 중인데 등록 가능 계좌를 현 50개에서 100개로 늘려주면 감사하겠습니다
10531,잘 사용하고 있습니다 모바일 인증서 너무 편리하네요
10532,편해요 바쁜 일상 편한 게 최고
10533,잘 사용해요
10534,편리하게 잘 쓰고 있습니다 타은행 거래내역도 연동되고 인터페이스도 깔끔해서 꽤 편리한 편이에요 입출금 알림은 전용 앱을 따로 설치해야 하는 점이 아쉽긴 한데 따로 만들어두신 이유가 있겠죠 만족하는 편입니다
10535,20년 넘게 사용하고 있습니다 익숙함에 편리합니다 이제는 지문 로그인으로 빠른 서비스가 가능해져서 좋네요
10536,편리합니다
10537,잘 사용하고 있습니다 좋아요
10538,국민은행은 다 좋은데 관련 앱을 좀 통일했으면 좋겠습니다 리브며 페이며 다 따로 깔아야 되는 번거로움이 너무 심해요
10539,믿고 사용하는 앱
10540,주거래은행으로 20년 가까이 사용 중입니다 더욱 편리하고 신뢰할만 은행으로 거듭나길 기원합니다
10541,앞으로 점점 좋아지겠죠 적금 넣는 게 많이 편하네요 5년째 잘 쓰고 있네요
10542,자주 이용하고 있어요 바쁜 회사일로 은행 업무를 자유롭게 이용할 수 있어서 너무 좋아요
10543,지문인식 설정을 했더니 너무 간편하고 이체도 편리하게 할 수 있어 좋아요
10544,아주 유용하게 여러 정보를 확인할 수 있어서 좋아요
10545,사용해 보니 간단하고 편리해서 좋습니다
10546,어렸을 때부터 계속 사용해온 주거래은행입니다 mvp라서 여러모로 혜택도 많고 편리합니다 예적금 가입하고 싶은데 금리가 낮아서 좀 아쉽습니다
10547,업데이트되면서 많이 편리해졌어요 다만 자동이체 수수료가 내려면 더 좋을 거 같아요 어플 관련은 아니지만
10548,국민은행 거래한지 30년 다 되어갑니다 한눈에 쏙 들어오는 로고는 특히 더 맘 듭니다 스타뱅킹 앱 덕분 오프라인 은행 갈 일이 거의 없네요 간편하면서도 편리한 스타뱅킹 앱 없이 지내는 건 많이 불편하게 되었어요 가끔 앱 실행이 안되는 일이 있었는데 제 휴대폰 문제였는지는 모르겠지만 그땐 많이 불편했었습니다 앞으로도 쭉 사용할 계획입니다
10549,생애 첫 가입 후 줄곧 사용하고 있어요 기업 방크 역시 편하게 사용 중입니다
10550,언제나 잘 사용하고 있습니다 이체 버튼도 바로 있고 빠른 이체도 간편하니 좋아요 점점 은행 업무가 빠르고 간편해지네요
10551,주거래 은행이어서 사용하는데 불편함 없이 이해하기 쉽고 잘 이용하고 있네요
10552,대학 신입생 때 첫 통장을 만든 후 10년 넘게 국민은행을 주거래은행으로 이용해오고 있습니다 긴 기간 동안 국민은행 어플이 점점 더 사용이 편리해지고 상품 가입도 쉬어지고 있다는 걸 경험했습니다 앞으로도 쭉 잘 사용할 것 같아요
10553,컴맹에 여러 가지 기능을 모르는 또 단순한 걸 좋아해 은행 창구만 이용하는 1인이었던 저에게 아주 쉽고 간편하게 접근할 수 있어서 편하고 좋습니다 아직은 잔금 확인 이 체내 역 확인만 간단하게 하지만 앞으로는 다양한 앱 혜택을 여러모로 이용해보아야 될듯하네요 만족입니다
10554,빠른 결제가 좋아요
10555,월급통장에 대출 이것저것 다 따로인데 한 번에 관리되니 너무 편하네요
10556,편하게 잘 사용하고 있습니다
10557,믿고 사용하는 나의 친구 스타
10558,처음 이용하는 사람도 사용하기 편리 하교 쉽게 되어있어 좋습니다
10559,편리하게 잘 쓰고 있어요
10560,주거래 은행으로 오랜 기간 사용하고 있는데 그간 불편했던 기억이 없을 정도로 만족하며 사용하고 있습니다 메뉴 구성이나 위치가 눈에 잘 보여서 쉽고 빠르게 은행 업무를 처리할 수 있어 좋네요
10561,편리하게 잘 쓰고 있습니다 모바일 인증서는 물론 오픈뱅킹 서비스까지 영업점은 늘 대기시간이 길어 불편했는데 특별히 서류를 요구하지 않는 경우는 다 앱으로 해결합니다 근데 국민은행 관련 앱들은 너무 많아서 이것저것 다 써야 하네요;;
10562,보기에 깔끔하네요 휴면계좌를 바로 알려주는 것도 편리해요
10563,로딩 속도도 빠르고 이용하기도 편리해서 좋아요
10564,MVP 등급입니다 적극 추천합니다
10565,잘 쓰고 있어요
10566,처음보다 속도나 서비스 면에서 많이 나아져서 지금은 편리하게 쓰고 있습니다 국민은행이 주거래은행이라 점점 좋아져서 너무 좋아요
10567,쉽게 설명되어 있어 좋네요 초보자가 더 쉽게 이해할 수 있게 퇴직급여관리 신경 써주세요
10568,예전과 다르게 현재에는 어려가지 기능들을 다른 어플들과 나누어 운영하기에 꼭 필요한 사용자 중심으로 바뀌어서 만족합니다 깔끔하고 간소화된 메인으로 지금처럼 유지해주세요
10569,빠르고 보기 쉽다
10570,좋아요
10571,오래 사용했는데 쓰기 편해 좋아요
10572,가장 잘 쓰고 있어요
10573,KB 스타뱅킹 로그인도 편리하게 되어있고 계좌 보기도 편리하고 이체도 쉬워서 쓰기 편리합니다
10574,이용하기에 쉽고 편리해요
10575,사용하기 편리해요 한눈에 계좌관리도 잘 돼요
10576,사용하기 편리합니다
10577,우선 어플 구성이 사용하기 편해요 그리고 신뢰 가는 은행이라 더 믿고 맡길 수 있는 거 같아요
10578,빠르고 편하고 좋습니다
10579,시간이 없어 은행 가기 힘들 때 집에서 시간에 구애받지 않고 손쉽게 이용할 수 있어 정말 좋아요
10580,타은행 외화 연계 계좌를 통해 해외 주식을 손쉽게 매수하고 매도하여 연계계좌로 자금 이체를 할 수 있어서 너무나도 편했어요 그리고 펀드 매수 타이밍을 잡을 수 있게 한 달 동안 펀드 수익률 기준가를 그래프로 보고 잡을 수 있게 제공해주면 좋을 거 같습니다 그리고 다양한 이벤트로 고객 참여를 할 수 있어서 혜택도 많이 받고 좋았어요
10581,잘 쓰고 있어요 젊은 사람들은 사실 편리하게 잘 쓰고 있는데 다만 어르신들 보이스피싱 피해 예방을 위해서 더 철저한 보안이 필요합니다
10582,워낙 많은 사람이 오래도록 이용해서인가 가장 쓰기 편함
10583,상품이 다양하게 많으면 좋겠어요
10584,은행 앱 중 가장 사용하기 편리합니다 다만 로그인 시 시간이 좀 걸리는 게 좀 아쉽네요
10585,몇 년째 사용하고 있는 저의 은행 앱이네요 사용할 때마다 개선되는 점들이 많아 좋습니다 감사합니다 앞으로도 좋은 연구와 발전 부탁드려요
10586,UI가 제일 익숙하고 편해요
10587,국민스타뱅킹이 젤 편해요 보기도 편하고 찾기도 편하고 은행 업무 보는 게 쉬어지고 무엇보다 잔액이 쑥쑥 올라가는 걸 국민은행 스타뱅킹에서 한 번에 볼 수 있어서 좋아요
10588,깔끔한 구성과 기능 등은 좋지만 타사 뱅킹과의 차별점은 별로 없어 보여서 아쉽네요
10589,사용하기 편하게 되어있어요 도움 많이 되네요
10590,사용하기 편해요
10591,은행 갈 일이 없어요 자산관리부터 대출까지 스타뱅킹으로 OK
10592,좋아요
10593,살짝 복잡한 감도 있으나 편리한 어플
