,comment
44,하라는 대로 해도 안 됨 인증서 발급받음 지문이랑 패턴 다 만들고 들어가서 지문으로 인증하니 바로 3회 오류로 암호 설정하고 다시 하래 사용자 암호 재설정하로 감 거기서 또 오류라고 kb 스타뱅킹에서 재설정하래 다시 첨부터 시작임 암호 재설정 가서 설정하면 다시 오류 나고 다시 kb 스타뱅킹에서 하라는 말만 뜨고 다시 설정하면 오류 나고 이게 뭔 개 짓거리임 내가 지금 다른 어플 사용 중인가 Kb 스타뱅킹에서 하라고 하고 오류는 먗 달 전처럼 나서 못 하고 재부팅 하라고 해서 해도 똑같고 개발자 일 안 하냐
45,비밀번호 입력횟수 3회를 넘어 이용 제한되었는데 표기됰 방법 그대로 따라 해도 되지를 않네요
46,좋아요
47,토스보다 ui가 불편해요
48,아니 로그인이 돼야 뭘 하지 캐시 그거 다 삭제했고 와이파이 환경이라는데 와이파이 5분 동안 동전만 돌고 있고 v3도 다 확인했으니 이제 뭐가 문제인지 들어나 봅시다 인터넷에서도 계좌 로그인이 유일한데 맨날 이 어플로 계좌 확인해가면서 살다가 이게 로그인 안 되고 동전만 돌면 난 손가락만 빨아야 되잖아요 인터넷에서 상담하려 해도 로그인하라지 나라사랑카드라서 뭐 다른 로그인 등록된 것도 없고 핸드폰으로 인증하라는데 핸드폰에선 로그인하래서 지문이나 패턴 찍으면 동전만 오지게 돌지 뭐 할 수가 있어야지 몇 시간 동안
49,솔직히 말해서 제가 근래에 써본 앱 중 최악입니다 간단한 것부터 말씀드리면 주소지 쓸 때 기본이 통합검색으로 되어있어야 하는 거 아니에요 그리고 실컷 쓰고 확인 누르는데 나머지는 다 확인 버튼이 오른쪽에 있는데 얘만 확인이 또 왼쪽이고 초기화가 오른쪽이네 어떤 금융앱도 발급이나 인증까지 이렇게 오래 걸린 적 없는데 이건 앱 최적화가 문제가 아니라 로직 자체가 저혈압 환자 치료용으로 만든 건지 이해가 안 되네요 웬만하면 이런 앱 리뷰 안 적는데 살다 살다 이렇게 악에 받치게 만드는 앱은 또 처음 봐서 적습니다 웹에서 안돼서 앱 깔아서 온 건데 웹앱 둘 다 문제 있게 만드는 건 크리티컬하지 않나요 제가 이렇게 쓴다고 해도 담당자분들은 어디가 문제인지조차 모르고 있을 거라는 게 가장 큰 문제 같고요 평생 안 쓰던 은행인데 기프트카드 선물 받아서 조회하려고 하다가 정말 더더욱 이 은행만큼은 쓰지 않겠다 마음먹게 되었습니다 본인들 쓰시기에도 안 불편하세요
50,앱 안 들어가져서 삭제하고 새로 깔려고 하는데 설치 자체가 안되네요 익숙하게 쓰던 앱인데 불편하게 다른 거 사용 중
51,Nt008 오류 설치 다시 해도 무한 반복 이거 몇 주째인데 해결해줘요 은행 갈아타고 싶네 개 짜증
52,기존에 잘 쓰고 있는데 인증서 재발급하래서 다 했는데 은행으로부터 응답이 없다고 해서 일주일 넘게 사용을 못 하고 있네요
53,아 진짜 환장하네요 느려도 너무 느리고 멈춰서 안 움직이다가 오류 낫다고 떴을 때 대기하면 또 넘어가다가 모바일 인증서 만들라 카니 비번 누르고 그 담으로 넘어가지도 않고 자꾸 내부 오류라고 해요  뱅킹으로 적금 든 거 해지해야 하는데 어떻게 해야 하나요 너무 불편해요 밑에 멈췄을 때 해보라는 거 다 해봤는데 말짱 도루묵이고 도대체 8월부터 왜 그러는 건가요 해도 해도 너무하네요 불편합니다 진짜 뱅킹을 하라는 건지 말라는 건지  아니면 다른 앱으로 적금 해지 가능한 앱 잇나요 도저히 이 앱은 쓸 수가 없네요
54,좋아요
55,앱 관리는 하시는 걸까요 정보를 불러오는 중입니다 이것만 뜨고 좀 기다릴까 싶으면 앱 오류라고 하루 종일 로그인이 안 돼요 은행 앱이 이렇게 자주 오류가 나니 짜증 만나고 주거래은행을 바꾸든지 해야지 어휴 별 한 개도 아까워요
56,지문인식을 하면 오류 났다 그러고 다시 실행하면 되네요 매번 쓸 때마다 그러는데 뭐가 문제인지 급하게 이체하거나 해야 할 때는 짜증이 납니다
57,은행에서 사업자용 계좌 만들어서 앱으로 편하게 이용하려고 설치했더니 모바일 인증서 먼저 발급받으라고 하더니만 계좌 20일 내 만들어서 안된다네 당신네들 계좌잖아 어쩌라는 거야
58,앱 실행 직후 모바일 인증서 화면에서 지문인식이나 로그인을 위한 창이 뜨지 않습니다 앱은 잠시 후 응답 대기가 뜨며 업데이트는 최신 버전으로 돼있는 걸 확인했습니다 왜 그런 거죠
59,며칠 전부터 푸시 알람이 안 뜨네요 매우 불편합니다 개선해주세요
60,진짜 어플 이따위로 밖에 관리 못 하겠습니까 로그인이 돼야 말이지 도대체가 하루 이틀도 아니고 20210924 로그인 좀 하자고요
61,로그인 안 돼요 조치해주세요
62,쓰레기 같은 앱 가입하려 해도 되지도 않음
63,너무 다운이 심함
64,왜 로그인이 안 되나요 도대체 삭제했다 다시 설치했다를 몇 번을 해도 안되는 거야
65,올해 들어서 앱 고장이 너무 심하네요 몇 년을 썼는데 올해 들어서 로그인도 안 되고 오류도 심하고 앱 데이터 지우고 삭제한 게 지금 몇 번째인지 모르겠어요 이젠 화가 날 지경이에요 다른 분들도 다 그런 것 같은데 왜 몇 달이 지나도 안 고치나요 저에겐 국민은행이 편해서 계속 쓰고 싶은데 이런 일이 너무너무너무 많이 일어나서 스트레스받고 데이터 지우고 다시까는 일이 비록 얼마 안 걸리지만 자꾸 이러면 다른 은행 앱에서는 이런 일 한 번도 없었는데 번거롭고 손에 안 가기 마련이에요 문제를 인식하셨으면 제발 고쳐주세요 이 오류 때문에 몇 달 전에는 전화로 문의드렸는데도 아직도 이러다니요;;;
66,무한 로딩 사용하기 너무 불편 별 하나도 아깝네요
