,count,WORD,TAG,reinforcer,score
532,7,수준,NNG,1,0
534,7,얼마나,MAG,1,0
535,7,결국,MAG,1,0
536,7,안녕하세요,NNP,1,0
511,7,위젯,NNP,1,0
500,7,책임자,NNG,1,0
509,7,밑,NNG,1,0
494,7,욕,NNG,1,0
508,7,상담,NNG,1,0
482,7,싸,VV,1,0
483,7,접속,NNP,1,0
484,7,포기,NNG,1,0
485,7,설치,NNP,1,0
486,7,터지,VV,1,0
488,7,급하,VA,1,0
489,7,요청,NNG,1,0
490,7,주민,NNG,1,0
491,7,통화,NNP,1,0
492,7,도움,NNG,1,0
493,7,대놓고,MAG,1,0
487,7,카드,NNP,1,0
495,7,처벌,NNP,1,0
502,7,한,NNP,1,0
507,7,차라리,MAG,1,0
496,7,따로,MAG,1,0
506,7,너무너무,MAG,1,0
505,7,직원,NNP,1,0
503,7,내리,VV,1,0
504,7,주민등록번호,NNP,1,0
501,7,죽,VV,1,0
499,7,인해,NNP,1,0
498,7,다시,VV,1,0
497,7,디자인,NNG,1,0
589,6,메뉴,NNP,1,0
582,6,초기,NNG,1,0
588,6,집단,NNG,1,0
587,6,상당히,MAG,1,0
586,6,모임,NNG,1,0
584,6,똑같이,MAG,1,0
583,6,반복,NNG,1,0
577,6,공개,NNG,1,0
581,6,불구,XR,1,0
580,6,안,NNG,1,0
579,6,여성,NNG,1,0
578,6,실행,NNP,1,0
576,6,싹,MAG,1,0
575,6,편안,NNG,1,0
591,6,알람,NNP,1,0
590,6,남,NNP,1,0
604,6,참,VV,1,0
592,6,깔리,VV,1,0
593,6,부족,NNG,1,0
608,6,사회,NNG,1,0
607,6,버스,NNP,1,0
606,6,개화,NNP,1,0
605,6,최신,NNG,1,0
573,6,사용자,NNG,1,0
603,6,회원,NNG,1,0
602,6,오,NNP,1,0
601,6,달,VV,1,0
600,6,귀엽,VA,1,0
599,6,계좌번호,NNG,1,0
598,6,추천,NNG,1,0
597,6,마음,NNG,1,0
596,6,예정,NNG,1,0
595,6,노트,NNP,1,0
594,6,예전,NNG,1,0
574,6,오픈,NNP,1,0
585,6,예금,NNG,1,0
572,6,친절,NNG,1,0
553,6,달,NNG,1,0
551,6,어이,NNP,1,0
550,6,인하,VV,1,0
549,6,끝나,VV,1,0
548,6,우연히,MAG,1,0
547,6,남,VV,1,0
546,6,천,NR,1,0
545,6,앞,NNG,1,0
544,6,두,VV,1,0
543,6,딱,MAG,1,0
541,6,훨씬,MAG,1,0
540,6,메갈리아,NNP,1,0
539,6,남자,NNG,1,0
538,6,줄,VV,1,0
537,6,적당히,MAG,1,0
571,6,방식,NNG,1,0
552,6,별 하나,NNG,1,0
542,6,재확인,NNG,1,0
554,6,조사,NNG,1,0
563,6,완전,NNG,1,0
570,6,밝히,VV,1,0
555,6,퇴사,NNG,1,0
569,6,꼴,NNG,1,0
568,6,선택,NNG,1,0
566,6,개발자,NNP,1,0
565,6,떠나,VV,1,0
564,6,미만,NNG,1,0
567,6,응,IC,1,0
562,6,지원,NNG,1,0
561,6,지문,NNP,1,0
560,6,나쁘,VA,1,0
559,6,오래,MAG,1,0
558,6,이자,NNG,1,0
556,6,임,NNP,1,0
557,6,일단,MAG,1,0
682,5,수정,NNG,1,0
